request_id,user_id,prompt,timestamp
0aba0b16-192b-4326-99fb-93ad0d5d978b,00000000-0000-0000-0000-000000000000,C4 diagram of a Go web server reading from external mysql database over TCP,2023-02-13T15:07:58.820Z
116d22d7-9700-4696-b38d-9533fff7623b,00000000-0000-0000-0000-000000000000,microservice architecture,2023-02-13T15:09:55.217Z
c06fb37c-2313-4ff9-b2b2-499d605b272c,00000000-0000-0000-0000-000000000000,C4 diagram of a Single Page application connecting to a Python Application that connects to 2 databases,2023-02-13T15:54:38.225Z
456d5bc5-1ff9-402c-9178-78a799d2a45e,00000000-0000-0000-0000-000000000000,C4 diagram of a python web server reading from external redis database over TCP,2023-02-13T15:37:21.519Z
6d7fc9ce-3806-4afd-8b8c-b467977365c0,00000000-0000-0000-0000-000000000000,C4 diagram of a React frontend application communicating with a Rest API that retrieves data from a MySQL DB,2023-02-13T11:19:51.738Z
f21a237f-f2c6-4276-8ddb-327ab7ca9d2d,00000000-0000-0000-0000-000000000000,"C4 iagram with three nodes producer, broker and consumer, and links: producer to broker from left to right, \nand consumer to broker from right to left.",2023-02-13T11:25:08.734Z
14aa21b7-9a65-44fa-8d5a-feb17d1afd4d,00000000-0000-0000-0000-000000000000,C4 diagram of a Python web server reading from external Postgres database over TCP and listening to Kafka events,2023-02-13T22:51:28.145Z
2106c16f-de04-4bba-a7a9-c19e015fd764,00000000-0000-0000-0000-000000000000,C4 diagram of a Python web server reading from external Postgres database over TCP and listening to Rabbitmq events,2023-02-13T22:51:13.812Z
74d8b2a3-cab0-429a-a57b-f7263d0940c5,00000000-0000-0000-0000-000000000000,C4 diagram of a Python web server reading from external Postgres database over TCP,2023-02-13T22:50:43.646Z
addb616b-76c7-4328-a817-483c0df1e9d9,00000000-0000-0000-0000-000000000000,A kubernetes cluster on GCP connects to Aurora DB on AWS,2023-02-13T19:12:49.600Z
aaedf5d0-6ff2-43fc-afa5-7c1dd0f31eab,00000000-0000-0000-0000-000000000000,A kubernetes cluster on GCP connects to Aurora DB on AWS,2023-02-13T19:12:58.640Z
8de4fd07-0360-4c3e-99c9-d8355cbe4c70,00000000-0000-0000-0000-000000000000,"the banking application that supports not only a mobile app, but also a single-page application. We also have an e-mail system and it's all supported via our Bank API that is connected to the database (we use Oracle)",2023-02-13T23:16:03.759Z
34418acd-7cae-4a8e-a8c8-d1cb07757480,00000000-0000-0000-0000-000000000000,C4 diagram of anna calling bob,2023-02-13T16:21:13.748Z
291a39ca-1b1b-49d4-8b33-6aa599d04e23,00000000-0000-0000-0000-000000000000,UML diagram of a Go web server reading from external Postgres database over TCP,2023-02-13T16:33:41.981Z
6d09aa58-26ed-4c35-84cd-ed17c9646699,00000000-0000-0000-0000-000000000000,"java web CRUD for the typical Person table (NAME, AGE, ADDRESS) stored in Postgre Database",2023-02-13T16:29:55.692Z
2c416689-638d-4117-922d-2bbfd3ce14f3,00000000-0000-0000-0000-000000000000,Cr diagram of a Ruby on Rails web server reading from an external Redis cache over TCP,2023-02-13T16:35:06.952Z
b675c7d6-4a6a-43af-8e29-652409ee9da2,00000000-0000-0000-0000-000000000000,"Runner backend retrieves models from S3 bucket and loads data from AWS, then provides it to another service. This service generates pipelines and connects them to front end",2023-02-13T16:18:34.861Z
d660a77a-7eda-4c48-b72a-f8dcc7c08c22,00000000-0000-0000-0000-000000000000,c4 diagram of the url shortener service,2023-02-13T16:30:56.825Z
3224c27d-4d1e-465c-9389-bdbc9f7e3c8e,00000000-0000-0000-0000-000000000000,diagram of a Ruby on Rails web server reading from an external Redis cache and a MySQL database over REST,2023-02-13T16:36:20.216Z
d4d5d002-3923-4d31-9364-d6f7ec120b3a,00000000-0000-0000-0000-000000000000,C4 diagram of a Rust web server reading from external Postgres database over TCP,2023-02-13T16:24:56.953Z
985ac58d-00e9-4694-9b92-815a47a07bb4,00000000-0000-0000-0000-000000000000,C4 diagram of a Ruby on Rails web server reading from an external Redis cache over TCP,2023-02-13T16:35:30.122Z
b096e212-0bca-4bb6-a9ad-9681e3c24209,00000000-0000-0000-0000-000000000000,C4 diagram of a Go web server reading from external database over TCP,2023-02-13T16:23:42.257Z
cda0d1cf-01e3-4022-a245-a0cacf9c005b,00000000-0000-0000-0000-000000000000,C4 diagram of Nastüsha hugging Dmitry,2023-02-13T16:38:24.484Z
0df4dcdf-5eff-435c-b6c1-cd80f7ff9bf2,00000000-0000-0000-0000-000000000000,C4 diagram of Nastüsha hugging Dmitry,2023-02-13T16:38:42.164Z
ad0a5473-ab2d-46f3-aec9-7516548a10c9,00000000-0000-0000-0000-000000000000,C4 diagram of a an entity reporting to another entity using document,2023-02-13T16:28:22.320Z
f58cbd28-19a6-4bec-8fa4-2a3ff79fd436,00000000-0000-0000-0000-000000000000,diagram of a Ruby on Rails web server reading from an external Redis cache over TCP,2023-02-13T16:35:53.020Z
2b5e7540-8e8d-4d20-9f12-a6629a55174e,00000000-0000-0000-0000-000000000000,"C4 diagram of a Django web server reading from Postgres database over TCP, authenticating requests with Keycloak over TCP. Postgres database receives data from a Celery worker reading content from RabbitMQ message queues via AMQP",2023-02-13T15:46:54.584Z
53a306e7-3d23-4e8f-b4e9-012642961763,00000000-0000-0000-0000-000000000000,"ERP Diagram of a root entity named Company with a child entity named Address which has six properties: ID (Primary key, INT), Street name (NVARCHAR(255)), House number (INT), House number addition (NVARCHAR(5)), \nState or Province (NVARCHAR(255)), \nCountry (NVARCHAR(255))",2023-02-13T15:43:07.602Z
816e400b-db36-4eb5-a2e2-d03eec281c14,00000000-0000-0000-0000-000000000000,"ERP Diagram of a root entity named Company with a child entity named Address which has six columns: ID (Primary key, INT), Street name (NVARCHAR(255)), House number (INT), House number addition (NVARCHAR(5)), \nState or Province (NVARCHAR(255)), \nCountry (NVARCHAR(255))",2023-02-13T15:43:49.258Z
58783619-4eb0-4ce9-9dc1-f9ab705086c4,00000000-0000-0000-0000-000000000000,"C4 diagram of a Django web server reading from Postgres database over TCP, authenticating requests with Keycloak over TCP, with Postgres receiving data from a Celery worker reading content from RabbitMQ message queues via AMQP",2023-02-13T15:47:29.686Z
dae490e2-7006-4a45-96ec-1bbb2800de19,00000000-0000-0000-0000-000000000000,c4 diagram of a kotlin application publishing to a kafka topic and writing to external mysql,2023-02-13T12:57:11.966Z
fe1dd05d-e7f9-4d80-998b-0fc50ab86a50,00000000-0000-0000-0000-000000000000,c4 diagram of a kotlin application publishing to a kafka topic and writing to external mysql,2023-02-13T12:57:18.057Z
327ed1de-a84f-4d57-84ab-477ec2c54ad9,00000000-0000-0000-0000-000000000000,c4 diagram of kotlin application publishing to sqs,2023-02-13T12:58:57.760Z
93071b06-dd0f-4001-a208-9b9cc030ff09,00000000-0000-0000-0000-000000000000,c4 diagram of python application publishing to sqs,2023-02-13T13:00:56.056Z
b73194ae-e70e-4041-b1d6-36cd88c8d48f,00000000-0000-0000-0000-000000000000,c4 diagram of python application publishing to sqs,2023-02-13T13:01:02.689Z
7a2a4b71-851b-44d8-bf37-4499291ac945,00000000-0000-0000-0000-000000000000,c4 diagram of a kotlin application publishing to a kafka topic and writing to external mysql,2023-02-13T12:57:03.970Z
